names	Run1_C_5	Run1_C_7	Run1_C_12	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	Run1_C_18	Run1_C_20	Run1_C_21	root
LOC_33	15	15	14	15	15	16	15	15	15	15	15	15
LOC_34	15	14	15	15	15	15	14	14	14	14	14	14
LOC_35	21	18	20	20	20	19	18	18	18	17	18	19
LOC_36	21	21	21	21	21	22	20	19	18	18	18	20
LOC_37	20	20	19	20	20	20	21	21	20	22	21	21
LOC_38	16	16	16	16	15	17	16	16	16	15	15	16
LOC_39	20	19	20	20	20	22	20	20	19	20	20	20
LOC_40	15	15	15	15	15	15	13	13	13	13	13	14
LOC_41	19	21	20	19	22	20	22	22	21	21	20	21
LOC_42	20	21	21	21	21	21	21	22	21	21	23	21
LOC_43	21	18	18	18	22	19	18	18	18	20	19	18
LOC_44	19	15	18	18	19	19	18	18	18	18	18	18
LOC_45	18	18	19	19	18	18	19	19	20	19	19	18
LOC_46	20	20	20	21	20	20	20	20	21	22	23	20
LOC_47	15	14	15	15	16	15	16	14	14	14	14	15
LOC_48	17	17	17	17	16	16	17	17	16	16	16	17
LOC_49	15	15	15	15	15	16	15	15	15	14	15	15
LOC_50	15	16	17	17	17	17	16	18	15	16	16	16
LOC_51	20	21	20	20	20	20	21	21	21	21	21	20
LOC_52	19	19	21	19	21	19	18	18	19	20	20	19
LOC_53	23	23	23	23	23	24	22	22	20	20	20	23
LOC_54	20	20	20	19	19	19	21	20	19	19	19	20
LOC_55	20	20	20	20	20	20	19	19	19	19	19	20
LOC_56	19	19	18	19	19	19	18	18	19	19	19	19
LOC_57	23	22	25	25	23	23	22	22	24	24	23	23
LOC_58	21	21	21	21	21	22	21	23	20	20	21	21
LOC_59	9	9	9	9	9	9	11	12	11	11	11	9
LOC_60	20	21	20	20	20	20	21	21	23	23	22	20
LOC_61	24	24	25	26	24	26	24	24	24	24	25	24
LOC_62	19	18	20	20	19	19	17	17	16	18	19	18
LOC_63	17	20	17	18	17	17	20	22	20	20	22	17
LOC_64	18	18	18	18	18	18	16	16	18	18	18	17
LOC_65	17	17	16	17	17	17	16	16	17	15	15	17
LOC_66	21	21	17	18	19	21	23	23	20	20	20	21
LOC_67	25	22	20	21	24	24	23	23	23	23	23	22
LOC_68	16	16	16	16	16	16	17	17	16	15	16	16
LOC_69	21	22	21	21	19	21	20	20	20	20	19	21
LOC_70	24	24	26	25	23	24	22	22	20	20	20	23
LOC_71	16	15	18	19	17	17	15	15	17	18	17	16
LOC_72	22	20	22	22	21	24	19	20	22	21	20	20
LOC_73	19	19	19	19	23	23	19	19	20	20	20	19
LOC_74	22	22	20	22	22	22	24	23	22	22	23	22
LOC_75	27	23	26	24	26	26	19	19	19	19	19	23
LOC_76	22	25	21	22	23	23	20	23	25	25	23	21
LOC_77	16	14	14	13	13	13	14	14	15	15	15	14
LOC_78	22	22	21	22	21	21	22	22	22	22	22	22
LOC_79	15	17	15	15	15	15	15	15	15	16	15	15
LOC_80	25	23	22	22	22	22	22	24	23	22	24	24
LOC_81	16	16	16	16	16	17	16	16	16	16	16	16
LOC_82	22	22	21	22	22	23	22	24	22	23	23	20
LOC_83	18	18	19	19	18	18	18	18	18	22	17	18
LOC_84	15	16	17	17	15	15	16	16	16	16	18	16
LOC_85	21	21	19	19	21	21	22	21	21	21	19	21
LOC_86	16	17	16	17	16	17	17	18	17	17	17	16
LOC_87	20	19	21	20	20	19	20	20	19	20	19	20
LOC_88	25	23	22	23	24	24	23	22	23	22	22	22
LOC_89	26	27	30	27	29	29	28	29	29	29	30	26
LOC_90	20	19	20	20	20	20	20	20	19	19	20	20
LOC_91	17	17	17	17	17	17	20	19	17	18	18	17
LOC_92	19	19	20	21	21	21	19	20	18	17	17	19
LOC_93	12	12	11	11	11	11	15	15	15	15	15	12
LOC_94	15	15	15	15	15	15	15	15	16	18	19	15
LOC_95	14	13	13	13	13	13	13	13	16	14	14	13
LOC_96	20	21	20	20	22	19	22	21	21	21	21	20
LOC_97	20	20	20	20	20	20	20	20	22	20	21	20
LOC_98	15	15	15	15	15	15	15	15	15	17	17	15
LOC_99	18	17	17	17	16	18	16	16	16	14	15	16
LOC_100	14	14	14	14	14	14	14	14	14	18	14	14
