names	Run1_C_4	Run1_C_7	Run1_C_8	Run1_C_9	Run1_C_10	Run1_C_11	root
LOC_408	14	14	14	13	15	15	14
LOC_409	15	15	14	14	15	16	15
LOC_410	16	16	16	16	15	15	16
LOC_411	14	14	14	14	15	15	14
LOC_412	19	18	17	18	19	18	19
LOC_413	22	20	19	19	20	20	20
LOC_414	15	15	15	15	15	16	15
LOC_415	14	14	14	14	17	14	14
LOC_416	17	18	13	18	19	20	17
LOC_417	14	15	15	15	13	15	14
LOC_418	14	14	16	15	14	14	14
LOC_419	15	16	18	16	18	16	15
LOC_420	13	13	13	13	12	12	13
LOC_421	17	17	17	17	17	17	17
LOC_422	21	21	21	21	23	22	23
LOC_423	9	9	9	9	9	9	9
LOC_424	21	21	21	21	20	20	20
LOC_425	16	15	15	15	16	16	16
LOC_426	18	18	18	18	18	17	17
LOC_427	18	21	19	19	20	20	20
LOC_428	17	17	17	17	16	16	16
LOC_429	19	19	18	18	20	21	19
LOC_430	19	19	19	19	18	18	19
LOC_431	18	19	18	18	19	19	19
LOC_432	14	14	14	16	14	14	14
LOC_433	23	23	22	23	24	24	23
LOC_434	15	19	19	19	19	19	19
LOC_435	25	27	27	26	26	27	25
LOC_436	24	23	22	23	22	22	24
LOC_437	24	25	31	29	22	22	22
LOC_438	22	23	23	24	23	22	23
LOC_439	16	15	15	16	16	16	16
LOC_440	20	21	21	22	20	21	20
LOC_441	16	16	16	16	18	16	16
LOC_442	23	23	26	22	22	22	22
LOC_443	18	18	18	18	18	18	18
LOC_444	20	20	20	20	20	20	20
LOC_445	21	21	22	21	21	21	22
LOC_446	18	18	18	17	17	17	18
LOC_447	19	17	17	17	18	18	18
LOC_448	27	26	27	26	29	29	28
LOC_449	17	17	17	17	17	17	17
LOC_450	20	20	20	20	19	20	20
LOC_451	14	14	14	14	15	15	14
LOC_452	18	18	18	18	19	19	19
LOC_453	18	18	18	18	18	19	18
LOC_454	22	23	26	23	20	21	21
LOC_455	16	16	16	16	16	16	16
LOC_456	15	15	16	15	15	15	15
LOC_457	23	25	23	25	22	22	22
LOC_458	18	16	17	16	16	16	16
LOC_459	7	7	7	7	7	7	7
LOC_460	18	18	18	18	18	18	18
LOC_461	14	11	14	16	13	13	14
LOC_462	19	21	23	21	22	21	21
LOC_463	20	22	22	22	26	26	25
LOC_464	18	18	19	18	18	17	18
LOC_465	24	24	23	24	27	28	25
LOC_466	24	23	22	22	23	25	24
LOC_467	21	19	18	19	19	19	19
LOC_468	16	16	16	17	14	15	14
LOC_469	23	24	24	25	24	23	23
LOC_470	23	23	22	23	24	23	23
LOC_471	19	19	19	19	21	20	19
LOC_472	14	16	17	20	16	13	16
LOC_473	21	21	22	22	22	23	21
LOC_474	15	15	15	15	15	15	15
LOC_475	15	16	16	16	16	16	16
LOC_476	16	16	16	16	16	16	16
LOC_477	19	16	19	19	18	19	19
LOC_478	16	16	16	16	16	17	16
LOC_479	17	20	17	18	17	17	17
LOC_480	17	17	15	19	17	17	17
LOC_481	16	16	16	17	13	13	16
LOC_482	17	17	17	17	19	16	17
LOC_483	24	23	24	25	23	23	24
LOC_484	24	26	29	27	25	25	25
LOC_485	15	15	15	15	17	17	17
LOC_486	21	19	19	20	23	23	23
LOC_487	18	18	18	18	18	17	17
LOC_488	24	24	24	24	23	23	23
LOC_489	18	19	20	19	18	18	18
LOC_490	14	14	14	14	14	14	14
LOC_491	21	22	22	22	21	22	21
LOC_492	21	21	22	20	20	20	20
LOC_493	28	26	27	26	28	27	27
LOC_494	17	17	17	17	18	17	17
LOC_495	24	23	21	22	24	24	23
LOC_496	22	23	15	17	22	22	22
LOC_497	17	17	15	17	20	20	20
LOC_498	8	8	8	8	8	8	8
LOC_499	21	22	20	19	26	26	21
LOC_500	19	19	19	19	19	19	19
LOC_501	17	17	17	17	17	17	17
LOC_502	27	25	25	24	24	27	27
LOC_503	7	7	7	7	9	7	7
LOC_504	15	15	15	15	15	15	15
LOC_505	21	22	22	25	21	21	21
LOC_506	15	15	15	15	14	14	14
LOC_507	15	17	15	15	14	13	14
LOC_508	18	18	18	18	18	18	18
LOC_509	19	19	19	19	18	20	19
LOC_510	20	19	17	17	20	20	20
LOC_511	20	20	20	20	20	20	20
LOC_512	24	24	23	23	23	23	23
LOC_513	16	16	16	16	16	16	16
LOC_514	14	15	14	14	14	14	14
LOC_515	18	17	17	17	19	19	18
LOC_516	18	18	18	18	18	18	18
LOC_517	19	20	21	21	19	19	19
LOC_518	21	22	23	22	21	21	21
LOC_519	17	17	18	17	17	17	17
LOC_520	18	20	19	20	20	22	20
LOC_521	15	16	17	16	16	16	16
LOC_522	19	19	19	19	19	19	19
LOC_523	18	18	19	19	20	21	18
LOC_524	22	22	23	25	22	22	22
LOC_525	18	20	19	19	18	18	18
LOC_526	14	14	14	14	14	14	14
LOC_527	18	17	12	15	18	18	18
LOC_528	18	18	18	18	18	18	18
LOC_529	16	16	16	17	16	16	16
LOC_530	16	14	16	16	13	14	14
LOC_531	22	23	22	22	21	23	22
LOC_532	16	17	18	17	15	16	16
LOC_533	20	21	23	20	19	19	19
LOC_534	18	19	18	18	17	20	18
LOC_535	20	21	21	21	20	20	20
LOC_536	16	16	16	16	16	16	16
LOC_537	22	21	23	22	22	22	21
LOC_538	21	20	20	20	22	20	21
LOC_539	29	30	31	29	30	30	30
LOC_540	27	26	28	27	25	27	27
LOC_541	14	14	14	14	14	14	14
LOC_542	17	18	18	18	17	18	17
LOC_543	21	20	20	19	19	19	20
LOC_544	12	12	12	12	12	12	12
LOC_545	18	17	17	17	15	16	17
LOC_546	18	17	16	17	19	19	18
LOC_547	22	24	25	22	25	22	22
LOC_548	29	28	29	28	28	29	28
LOC_549	16	16	15	16	14	16	16
LOC_550	23	24	23	21	20	20	24
LOC_551	17	14	15	12	15	15	15
LOC_552	16	15	17	16	16	16	16
LOC_553	15	19	19	19	18	18	18
LOC_554	14	14	14	14	14	14	14
LOC_555	20	22	20	23	21	22	22
LOC_556	20	17	17	17	17	17	17
LOC_557	21	21	20	21	23	21	21
LOC_558	18	18	18	18	18	18	18
LOC_559	16	16	15	15	16	16	16
LOC_560	21	20	21	21	21	21	21
LOC_561	24	25	22	23	25	24	24
LOC_562	22	24	27	27	23	22	22
LOC_563	27	25	28	30	26	25	27
LOC_564	17	18	18	18	18	18	18
LOC_565	19	19	19	20	19	19	19
LOC_566	16	15	15	15	16	16	15
LOC_567	22	23	23	24	24	24	23
LOC_568	18	18	19	18	18	18	18
LOC_569	17	17	18	18	17	17	17
LOC_570	19	19	19	19	19	19	19
LOC_571	19	19	19	19	18	17	17
LOC_572	17	17	17	17	17	17	17
LOC_573	19	19	20	20	19	19	19
LOC_574	20	21	25	21	21	21	21
LOC_575	17	16	16	17	18	18	17
LOC_576	18	18	18	18	19	20	18
LOC_577	12	12	13	13	12	12	12
LOC_578	17	14	14	14	14	14	14
LOC_579	22	22	24	23	15	19	20
LOC_580	15	15	15	15	15	14	14
LOC_581	18	18	18	19	18	18	18
LOC_582	18	18	18	19	18	17	18
LOC_583	14	14	14	14	14	14	14
LOC_584	23	22	25	24	21	19	20
LOC_585	13	13	13	13	16	16	14
LOC_586	19	19	19	19	20	22	20
LOC_587	13	13	14	14	12	12	12
LOC_588	27	31	29	27	26	28	28
LOC_589	8	8	8	8	8	8	8
LOC_590	14	11	11	11	14	14	14
LOC_591	17	17	17	17	17	17	17
LOC_592	11	11	12	12	11	11	11
LOC_593	14	14	14	14	14	14	14
LOC_594	26	25	26	26	27	28	26
LOC_595	18	17	18	18	18	18	18
LOC_596	26	27	27	27	26	26	26
LOC_597	20	19	19	19	20	20	20
LOC_598	20	17	17	17	21	19	21
LOC_599	28	31	30	30	27	31	29
LOC_600	25	26	26	25	28	25	26
LOC_601	14	14	15	15	14	14	14
LOC_602	14	14	16	14	14	14	14
LOC_603	18	18	18	17	17	17	17
LOC_604	26	27	26	24	26	25	26
LOC_605	23	23	23	25	25	25	23
LOC_606	14	14	14	14	14	14	14
LOC_607	20	19	20	20	19	19	19
LOC_608	26	25	24	24	25	24	24
LOC_609	28	29	30	27	25	26	30
LOC_610	16	16	18	17	16	16	16
LOC_611	22	23	21	22	23	23	22
LOC_612	14	15	15	15	15	15	15
LOC_613	29	28	26	27	26	26	27
LOC_614	28	28	28	26	27	27	29
LOC_615	18	19	18	18	18	20	18
LOC_616	22	21	22	21	22	22	22
LOC_617	30	27	28	27	30	30	29
LOC_618	19	21	16	21	18	19	19
LOC_619	22	22	20	22	21	20	21
LOC_620	25	24	19	22	23	24	24
LOC_621	26	26	27	26	24	26	25
LOC_622	26	25	24	24	21	21	23
LOC_623	23	23	23	23	24	23	23
LOC_624	20	17	20	20	19	18	20
LOC_625	13	13	12	13	14	14	14
LOC_626	16	16	18	18	16	16	16
LOC_627	15	15	13	14	14	14	14
LOC_628	17	17	19	19	17	17	17
LOC_629	21	20	19	19	20	20	20
LOC_630	16	16	16	16	16	16	16
LOC_631	19	19	21	19	19	19	19
LOC_632	11	12	12	12	16	16	16
LOC_633	20	20	20	21	20	20	20
LOC_634	23	21	24	23	22	22	22
LOC_635	18	18	18	18	18	18	18
LOC_636	17	17	19	18	17	17	17
LOC_637	15	15	15	15	15	15	15
LOC_638	18	18	17	18	18	18	18
LOC_639	22	23	23	22	24	24	24
LOC_640	23	20	21	21	19	19	20
LOC_641	20	24	23	24	20	18	20
LOC_642	26	29	26	27	24	25	28
LOC_643	22	21	23	23	22	22	22
LOC_644	22	22	26	24	22	22	22
LOC_645	18	18	18	18	18	16	18
LOC_646	17	16	18	18	16	18	16
LOC_647	14	13	13	13	14	14	14
LOC_648	15	15	17	15	15	15	15
LOC_649	17	17	16	16	17	17	17
LOC_650	24	21	22	22	24	24	24
LOC_651	15	15	15	15	15	15	15
LOC_652	16	16	16	16	16	16	16
LOC_653	24	23	21	24	25	25	24
LOC_654	21	21	23	23	21	21	21
LOC_655	25	25	25	23	24	25	24
LOC_656	15	15	15	15	15	15	15
LOC_657	16	17	16	16	15	15	16
LOC_658	25	26	26	25	25	26	25
LOC_659	18	18	18	19	19	19	18
LOC_660	16	17	16	17	16	16	16
LOC_661	9	8	8	8	9	9	9
LOC_662	16	17	17	16	16	17	16
LOC_663	18	18	18	18	18	18	18
LOC_664	26	26	26	26	25	25	26
LOC_665	12	12	12	12	12	12	12
LOC_666	23	21	20	21	21	22	23
LOC_667	17	17	18	19	18	18	17
LOC_668	20	20	20	20	20	21	20
LOC_669	24	24	25	25	23	23	23
LOC_670	14	14	14	13	14	14	14
LOC_671	16	16	16	16	15	15	16
LOC_672	20	20	20	20	21	21	21
LOC_673	20	21	21	21	20	21	21
LOC_674	20	21	23	22	22	20	21
LOC_675	18	18	17	18	18	18	18
LOC_676	20	23	22	24	22	22	20
LOC_677	15	17	17	16	16	16	16
LOC_678	21	20	20	20	20	20	20
LOC_679	15	17	18	17	15	15	15
LOC_680	17	17	15	18	18	18	18
LOC_681	17	17	17	17	17	17	16
LOC_682	16	13	13	13	17	18	14
LOC_683	22	22	23	22	20	22	22
LOC_684	27	30	32	30	27	27	28
LOC_685	23	23	23	22	23	24	23
LOC_686	18	16	15	15	18	17	17
LOC_687	22	22	20	20	21	21	21
LOC_688	23	23	22	25	27	24	24
LOC_689	23	23	23	23	22	22	23
LOC_690	22	22	21	24	21	21	21
LOC_691	20	20	20	20	21	23	20
LOC_692	19	19	19	19	22	21	19
LOC_693	19	24	23	22	19	19	19
LOC_694	16	17	16	16	16	16	16
