names	Run1_C_8	Run1_C_9	Run1_C_10	Run1_C_11	Run1_C_12	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_69	20	20	21	21	21	22	21	24	24	21
LOC_70	23	23	23	22	25	24	23	23	23	23
LOC_71	17	16	16	16	15	15	15	16	15	16
LOC_72	20	22	20	20	20	19	19	19	20	20
LOC_73	21	21	19	20	19	19	19	19	19	19
LOC_74	19	20	22	22	23	24	23	19	23	22
LOC_75	24	24	24	25	23	23	23	24	24	23
LOC_76	25	21	21	21	22	21	22	21	21	21
LOC_77	16	16	15	14	14	14	14	14	14	14
LOC_78	21	21	23	22	22	22	22	24	22	22
LOC_79	17	15	15	13	15	16	15	15	15	15
LOC_80	26	25	26	26	24	23	23	23	23	24
LOC_81	18	16	16	16	16	17	16	16	16	16
LOC_82	20	22	21	21	20	19	19	18	18	20
LOC_83	18	18	18	18	16	16	16	17	18	18
LOC_84	16	16	17	16	16	16	16	16	16	16
LOC_85	22	22	21	21	22	21	21	21	21	21
LOC_86	17	16	16	16	15	17	15	15	15	16
LOC_87	21	19	22	23	21	20	19	21	21	20
LOC_88	20	20	26	24	26	24	24	22	21	22
LOC_89	26	27	27	28	25	28	29	25	26	26
LOC_90	22	22	20	20	18	18	18	18	18	20
LOC_91	17	17	17	17	17	17	17	17	17	17
LOC_92	19	19	19	19	19	19	19	20	20	19
LOC_93	12	12	12	12	12	12	13	12	12	12
LOC_94	16	15	14	14	16	15	15	18	15	15
LOC_95	13	14	13	13	13	13	13	14	14	13
LOC_96	20	20	20	20	19	19	18	20	20	20
LOC_97	20	20	20	20	19	19	21	18	19	20
LOC_98	15	15	15	15	15	17	15	15	15	15
LOC_99	16	15	17	16	16	16	20	16	16	16
LOC_100	14	14	14	15	14	15	14	14	14	14
LOC_101	20	20	21	21	20	21	20	20	20	21
LOC_102	19	19	19	19	17	16	17	14	15	19
LOC_103	14	14	14	14	14	14	14	14	15	14
LOC_104	21	21	23	20	21	21	21	21	21	21
LOC_105	15	16	16	18	16	17	17	16	16	16
LOC_106	30	29	31	28	28	24	25	27	28	28
LOC_107	15	16	15	14	15	16	18	16	15	15
LOC_108	21	21	24	24	22	20	20	23	23	23
LOC_109	14	13	14	14	15	15	15	15	15	14
LOC_110	16	16	16	16	16	17	17	17	17	16
LOC_111	16	14	16	16	16	15	15	15	15	15
LOC_112	22	25	22	21	23	23	21	24	24	21
LOC_113	16	16	14	14	14	14	14	11	14	14
LOC_114	17	17	17	17	16	17	17	17	16	17
LOC_115	14	16	14	14	14	15	14	14	14	14
LOC_116	14	14	14	14	14	14	14	14	14	14
LOC_117	18	18	18	18	19	21	19	19	19	19
LOC_118	16	16	17	18	16	16	16	16	16	16
LOC_119	22	22	23	24	22	22	21	27	23	23
LOC_120	18	18	16	16	18	19	19	18	18	18
LOC_121	20	19	18	18	17	17	17	18	18	18
LOC_122	19	19	19	19	20	20	20	18	19	19
LOC_123	22	24	24	24	24	24	24	21	24	24
LOC_124	19	22	22	21	21	21	21	23	21	22
LOC_125	26	27	26	27	26	29	28	26	25	27
LOC_126	14	14	14	14	15	15	15	13	13	14
LOC_127	21	22	24	20	22	23	20	24	23	22
LOC_128	20	20	20	20	20	18	18	20	24	20
LOC_129	19	19	23	23	20	20	20	19	18	19
LOC_130	24	24	26	25	24	24	22	25	24	24
LOC_131	15	15	15	15	15	16	16	15	15	15
LOC_132	23	23	22	21	19	19	19	20	20	21
LOC_133	22	21	23	23	25	25	25	22	22	22
LOC_134	23	23	25	22	26	25	25	23	23	23
LOC_135	13	15	14	14	14	14	14	14	15	14
LOC_136	15	15	15	15	15	15	17	15	15	15
LOC_137	22	24	24	24	24	24	26	23	23	24
LOC_138	20	20	20	20	21	20	25	23	21	21
LOC_139	17	22	17	17	17	17	17	16	16	17
LOC_140	17	17	17	17	19	19	20	18	18	17
LOC_141	15	15	15	16	16	15	15	16	16	15
LOC_142	29	26	26	26	25	23	23	23	23	27
LOC_143	22	23	21	24	21	19	21	19	20	21
LOC_144	16	16	16	16	16	16	16	16	16	16
LOC_145	20	20	21	21	20	21	20	15	15	20
LOC_146	22	22	20	20	20	21	20	21	20	20
LOC_147	21	21	21	21	22	20	20	22	22	21
LOC_148	15	15	15	15	14	14	14	14	14	14
LOC_149	18	18	18	18	17	18	18	18	18	18
LOC_150	15	17	15	16	15	15	15	13	15	15
LOC_151	17	16	16	16	16	16	16	16	16	16
LOC_152	20	20	20	20	20	20	20	22	20	20
LOC_153	20	19	20	20	20	22	22	21	20	20
LOC_154	18	18	18	19	21	22	21	24	23	18
LOC_155	20	20	21	22	21	20	21	22	22	21
LOC_156	17	16	17	17	18	18	18	17	17	17
LOC_157	17	17	17	17	17	17	14	17	17	17
LOC_158	23	23	24	23	22	22	23	24	24	22
LOC_159	15	15	15	15	16	16	16	17	17	15
LOC_160	18	18	18	19	19	20	20	21	21	19
LOC_161	22	23	21	22	21	18	19	19	21	21
LOC_162	19	21	19	19	20	20	20	20	21	20
LOC_163	18	18	18	18	18	19	17	20	18	18
LOC_164	20	20	23	22	19	20	20	20	19	20
LOC_165	14	14	15	15	15	15	15	15	15	15
LOC_166	16	16	17	16	15	17	17	17	17	17
LOC_167	16	16	16	16	17	17	17	14	14	16
LOC_168	29	26	27	27	27	28	27	28	30	28
LOC_169	23	23	24	24	19	20	20	27	23	23
LOC_170	19	21	19	19	19	19	19	16	18	19
LOC_171	23	24	23	23	24	22	24	25	26	23
LOC_172	22	21	21	20	22	25	24	24	24	22
LOC_173	16	16	16	16	18	19	18	18	18	16
LOC_174	20	21	23	24	22	22	20	22	24	22
LOC_175	29	27	29	29	27	28	26	25	25	27
LOC_176	14	14	15	14	14	14	14	14	14	14
LOC_177	24	24	27	25	23	23	26	23	24	24
LOC_178	22	21	21	22	21	21	21	22	23	23
LOC_179	26	25	23	22	25	24	25	24	24	23
LOC_180	23	23	27	24	22	22	21	22	22	22
LOC_181	21	21	18	18	18	18	18	18	18	18
LOC_182	26	27	27	27	24	22	22	22	22	23
LOC_183	24	24	25	25	28	26	27	27	26	25
LOC_184	16	16	17	15	17	17	17	16	16	16
LOC_185	20	22	21	17	20	20	19	19	20	20
LOC_186	16	16	18	16	16	16	16	16	17	16
LOC_187	22	21	21	21	20	20	21	20	20	21
LOC_188	26	25	24	24	23	24	23	23	23	25
LOC_189	14	14	14	14	14	14	14	14	14	14
LOC_190	21	21	21	21	21	21	22	22	22	22
LOC_191	17	17	17	17	17	17	17	18	18	17
LOC_192	21	21	19	21	21	21	21	21	22	21
LOC_193	15	15	17	15	16	16	16	15	15	15
LOC_194	18	18	18	18	17	18	18	17	18	18
LOC_195	18	18	17	17	18	18	18	18	17	18
LOC_196	22	22	22	22	22	22	22	22	22	22
LOC_197	21	21	21	21	23	24	23	21	21	21
LOC_198	25	25	24	24	32	30	31	27	27	27
LOC_199	14	14	14	14	13	10	10	13	13	14
LOC_200	23	23	22	23	21	21	21	23	25	23
LOC_201	23	23	25	30	25	24	27	24	25	24
LOC_202	16	16	17	17	17	17	16	17	17	17
LOC_203	18	18	21	21	18	17	18	17	17	18
LOC_204	18	20	21	20	16	19	19	19	19	18
LOC_205	14	15	14	14	14	14	14	14	14	14
LOC_206	22	20	22	22	20	20	20	22	20	20
LOC_207	14	14	14	14	14	14	15	14	15	14
LOC_208	14	14	14	14	14	14	14	14	14	14
LOC_209	16	18	18	17	17	16	16	16	17	17
LOC_210	20	21	21	21	22	22	22	20	22	22
LOC_211	25	24	24	23	24	25	25	25	25	24
LOC_212	24	24	25	25	24	29	26	22	24	24
LOC_213	19	19	19	19	18	20	18	15	15	19
LOC_214	19	19	17	16	19	18	18	17	17	17
LOC_215	18	16	16	16	16	17	17	16	16	16
LOC_216	20	19	22	24	21	20	20	21	20	20
LOC_217	21	21	24	25	27	27	28	28	26	25
LOC_218	17	18	17	17	17	17	17	17	17	17
LOC_219	15	15	15	15	15	15	15	15	15	15
LOC_220	18	18	18	18	15	18	18	18	18	18
LOC_221	18	22	22	22	21	22	24	22	22	24
LOC_222	30	30	29	30	25	25	26	27	27	28
LOC_223	14	14	15	15	14	14	14	14	14	14
LOC_224	16	16	16	16	16	16	16	15	16	16
LOC_225	22	20	20	19	24	25	25	27	24	21
LOC_226	16	16	16	16	17	17	15	17	16	16
LOC_227	7	7	7	7	7	7	7	7	7	7
LOC_228	16	16	16	18	16	16	16	16	16	16
LOC_229	17	16	17	17	17	17	17	17	17	17
LOC_230	19	20	19	19	19	19	19	16	19	19
LOC_231	20	20	20	19	24	24	24	21	20	19
LOC_232	18	17	18	17	19	19	19	17	20	18
LOC_233	15	15	14	14	15	15	16	15	15	15
LOC_234	15	15	15	15	15	15	15	15	15	15
LOC_235	22	22	23	22	20	20	20	21	21	22
LOC_236	17	17	17	17	17	17	18	17	17	17
LOC_237	21	21	20	22	20	20	18	20	20	20
LOC_238	21	21	21	21	21	21	21	20	21	21
LOC_239	20	21	23	21	22	22	22	23	23	22
LOC_240	14	14	14	14	14	14	15	15	14	14
LOC_241	20	20	19	19	18	18	16	17	18	18
LOC_242	16	15	16	16	16	16	16	15	16	17
LOC_243	18	18	18	18	20	20	20	19	19	19
LOC_244	14	14	15	15	14	14	14	15	15	14
LOC_245	23	24	24	23	24	23	23	23	23	24
LOC_246	24	24	23	26	26	29	25	27	25	24
LOC_247	16	16	16	16	16	16	16	16	16	16
LOC_248	19	17	17	17	18	18	18	18	18	18
LOC_249	25	24	24	25	22	22	22	24	24	24
LOC_250	29	27	28	27	27	28	28	29	27	27
LOC_251	18	18	18	19	18	17	17	17	17	17
LOC_252	25	26	26	24	21	22	22	22	21	22
LOC_253	14	14	14	14	14	14	14	14	14	14
LOC_254	16	16	16	16	15	15	15	16	16	16
LOC_255	24	22	22	22	23	24	24	23	24	23
LOC_256	17	17	19	19	19	21	19	20	20	19
